"Type","Threads","TimeMs","Speedup"
"Mean","1","1007.3145","1.02435763607096"
"Mean","2","1018.8754","1.01273453064035"
"Mean","4","1008.997","1.02264952224833"
"Mean","8","1012.705","1.01890511057021"
"Mean","12","1004.3795","1.02735101622445"
"Mean","16","1005.3909","1.02631752485526"
"Mean","20","1017.6012","1.01400263678934"
"Mean","24","1009.8059","1.02183033392853"
"SDF","1","2011.9192","1.00483776883286"
"SDF","2","2012.3283","1.00463348848197"
"SDF","4","1008.9874","2.00364484234392"
"SDF","8","1005.6413","2.01031162900728"
"SDF","12","1005.5694","2.01045536986308"
"SDF","16","1016.8651","1.98812251497273"
"SDF","20","1018.3195","1.98528300793611"
"SDF","24","1008.3661","2.00487937863044"
